Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,Entrepreneurial Interest,Networking Importance,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?
1,27,Male,Arts,3.18,8,Entrepreneur,90624,No,688,185,7.9,7.6,Loan,Finance Manager,156165,International,Entrepreneurship,On-Campus,Yes
2,24,Male,Arts,3.03,4,Analyst,53576,Yes,791,405,3.8,4.1,Loan,Startup Founder,165612,International,Career Growth,Online,No
3,33,Female,Business,3.66,9,Engineer,79796,No,430,107,6.7,5.5,Scholarship,Consultant,122248,Domestic,Skill Enhancement,Online,No
4,31,Male,Engineering,2.46,1,Manager,105956,No,356,257,1,5.3,Loan,Consultant,123797,International,Entrepreneurship,On-Campus,No
5,28,Female,Business,2.75,9,Entrepreneur,96132,No,472,338,9.5,4.9,Loan,Consultant,197509,Domestic,Skill Enhancement,Online,Yes
6,33,Male,Business,3.58,3,Manager,101925,No,409,280,3.4,7.1,Scholarship,Marketing Director,99591,International,Networking,On-Campus,No
7,25,Female,Arts,3.06,5,Consultant,81962,No,369,158,9.2,8.3,Self-funded,Executive,119223,International,Networking,Online,No
8,27,Male,Engineering,2.8,6,Engineer,100072,Yes,588,190,2.9,9.6,Loan,Finance Manager,199447,International,Entrepreneurship,On-Campus,Yes
9,30,Female,Arts,2.06,6,Entrepreneur,118689,Yes,521,455,9.1,4.7,Scholarship,Executive,76037,Domestic,Career Growth,On-Campus,Yes
10,23,Female,Arts,3.51,3,Entrepreneur,112387,No,671,411,6,7.3,Scholarship,Startup Founder,92294,International,Entrepreneurship,Online,Yes
11,27,Male,Arts,3.94,9,Analyst,39156,No,652,436,2.6,6.1,Employer,Executive,119126,Domestic,Networking,On-Campus,No
12,31,Other,Arts,3.24,9,Manager,72597,No,749,283,3.9,2.6,Loan,Finance Manager,69698,International,Entrepreneurship,On-Campus,Yes
13,31,Male,Economics,3.71,4,Entrepreneur,81938,No,482,323,8.5,3.7,Employer,Consultant,159371,Domestic,Entrepreneurship,On-Campus,No
14,28,Female,Science,3.03,3,Manager,114728,No,440,117,9.6,8.6,Employer,Consultant,97889,Domestic,Entrepreneurship,Online,Yes
15,25,Female,Engineering,2.46,9,Consultant,84941,No,676,208,8.9,8.3,Employer,Marketing Director,190224,Domestic,Skill Enhancement,Online,Yes
16,24,Male,Economics,2.03,5,Analyst,62979,No,748,4,8.8,8.7,Self-funded,Marketing Director,173363,Domestic,Networking,On-Campus,Yes
17,28,Male,Science,3.31,6,Consultant,110931,No,466,429,1,1.4,Employer,Marketing Director,193921,Domestic,Networking,Online,Yes
